WorkerId,sentence,is_fact,is_myth,Answer.Fact.fact,Answer.Myth.myth,qc workers
A2JIRBAKZ19RKL,Japan would be sunk in 20 years due to global warming.,False,True,False,True,"['A4D99Y82KOLC8', 'A2A81MBSJDI1MI', 'A2MRMOCGL25O67', 'A35H5DUMZH86PC', 'A1U6UPXOFCXR24', 'A345TDMHP3DQ3G', 'A3HSZ9YLOBCCPR', 'A1GU25H2I4EF1', 'A1XD6THGBT1T9T', 'A2FXDEKCCUT9OJ', 'A2BMJL0FGLDBQI', 'A2TW985PTHOP3A', 'A1UVGRTH55TZLH', 'A39PWDRYNY2WM0', 'A13QHI6P2C910K', 'A251BWQW2F81FT', 'AW576CMZINJKE', 'A2HIAWY0EHAM05', 'A1T4ZMQIN0UVGR', 'A3UUDSDJ1GZZMR']"
A3GK1FK744XJ8B,Climate Change is not real,False,True,False,True,"['A25XR1F27QUO3D', 'A35H5DUMZH86PC', 'A4D99Y82KOLC8', 'A2MRMOCGL25O67', 'A2ML30H0T2HO1J', 'A3ULM61HK9HR0L', 'A4TZYBOL9IR9D', 'A345TDMHP3DQ3G', 'AO70MAT1C1VB2', 'A28JXW5YZJDNK4', 'ASML73P0NOOVV', 'A3AHE81HVRXFCD', 'A3HLL9X0R84HHH', 'A1U6UPXOFCXR24', 'A2CLEL4BKK2UEE', 'AW576CMZINJKE', 'A3HSZ9YLOBCCPR', 'A251BWQW2F81FT', 'A1F81JLE62538O', 'A3I6T47LQC4B9J']"
A1R1ORXJ05C7EG,Earth's temperatue has risen by about .11 degrees every decade since 1850.,True,False,True,False,"['A1XD6THGBT1T9T', 'A1HRLZIWPY0NOZ', 'AWGV35294HOYB', 'A2D6SB3TU1NYQ7', 'A3I6T47LQC4B9J', 'A251BWQW2F81FT', 'AY5X34OJ2VT1K', 'A28V2QIKX3N7UK', 'ASML73P0NOOVV', 'A4D99Y82KOLC8', 'A35H5DUMZH86PC', 'A13QHI6P2C910K', 'A3HSZ9YLOBCCPR', 'ARH3TXCX1QAPU', 'A52BF5BI5VPTZ', 'A1SY72RI6GRUVW', 'AW576CMZINJKE', 'A2MRMOCGL25O67', 'A37NZ5CUEO3RX7', 'A25XR1F27QUO3D']"
A2ECQJPKY9LHC3,Climate change is caused solely by natural factors and has nothing to do with human activities.,False,True,False,True,"['A2MZEUP2ECO1AI', 'A1707HKLEB5XV5', 'A19I2ZK220NTAE', 'A2A81MBSJDI1MI', 'A2IFN9328HNXWC', 'A345TDMHP3DQ3G', 'A2CLEL4BKK2UEE', 'A4TZYBOL9IR9D', 'A3HLL9X0R84HHH', 'A1F81JLE62538O', 'A35H5DUMZH86PC', 'A2KH9SC6A8VQXZ', 'A2ML30H0T2HO1J', 'A1UVGRTH55TZLH', 'A22J4L7PRXQWD5', 'ASML73P0NOOVV', 'A39PWDRYNY2WM0', 'AXWE1JX6PHN8J', 'A1XD6THGBT1T9T', 'A25XR1F27QUO3D']"
A1WDIDASJA224N,climate change is a figment of my imagination,False,True,False,True,"['A2MRMOCGL25O67', 'A25XR1F27QUO3D', 'A3HSZ9YLOBCCPR', 'AY5X34OJ2VT1K', 'A13QHI6P2C910K', 'A292751U6WFN3M', 'A1F81JLE62538O', 'A3NFGEUZAH9V5G', 'A251BWQW2F81FT', 'A2FXDEKCCUT9OJ', 'A3I6T47LQC4B9J', 'AW576CMZINJKE', 'A2O4PW85X1GQA1', 'AUIGW2YS0Z7HO', 'A39PWDRYNY2WM0', 'ASML73P0NOOVV', 'A1XD6THGBT1T9T', 'A1U6UPXOFCXR24', 'A3IG9HHR3NL9R0', 'A35H5DUMZH86PC']"
A3FLICAK428301,Space exploration is the use of astronomy and space technology to explore outer space.,True,False,True,False,"['A1XD6THGBT1T9T', 'AUIGW2YS0Z7HO', 'A2D6SB3TU1NYQ7', 'AW576CMZINJKE', 'A2ML30H0T2HO1J', 'A1YJN0M6DZN5LF', 'ARH3TXCX1QAPU', 'A2CLEL4BKK2UEE', 'A80XRGJXN2D22', 'A4D99Y82KOLC8', 'A251BWQW2F81FT', 'A13QHI6P2C910K', 'A19I2ZK220NTAE', 'A1FPF2OBOB2S8K', 'A35H5DUMZH86PC', 'A2O4PW85X1GQA1', 'A20KW255VI8X3Q', 'A1AMGHYG5PT0L2', 'A3I6T47LQC4B9J', 'A2MZEUP2ECO1AI']"
A3GK1FK744XJ8B,The moon landing was fake,False,True,False,True,"['A2MZEUP2ECO1AI', 'A4D99Y82KOLC8', 'A2O4PW85X1GQA1', 'A2MRMOCGL25O67', 'A3I6T47LQC4B9J', 'AZ0KS5UTO3EJ2', 'A3NFGEUZAH9V5G', 'A1707HKLEB5XV5', 'A2TW985PTHOP3A', 'A251BWQW2F81FT', 'A35H5DUMZH86PC', 'AW576CMZINJKE', 'ASML73P0NOOVV', 'AU4PTX44URN8D', 'A3HLL9X0R84HHH', 'AY5X34OJ2VT1K', 'A345TDMHP3DQ3G', 'A10MY1IS2FH48J', 'A1UVGRTH55TZLH', 'A13QHI6P2C910K']"
A209JFLE2JEZ0E,"Elon Musk, CEO of SpaceX, has announced plans to dramatically cut travel time to Mars.",True,False,True,False,"['A1GU25H2I4EF1', 'AY5X34OJ2VT1K', 'A292751U6WFN3M', 'A2ML30H0T2HO1J', 'A25XR1F27QUO3D', 'ASML73P0NOOVV', 'A2MZEUP2ECO1AI', 'A2MRMOCGL25O67', 'A3HLL9X0R84HHH', 'A2O4PW85X1GQA1', 'A4D99Y82KOLC8', 'A3I6T47LQC4B9J', 'A33B85TN97HQ33', 'A2CLEL4BKK2UEE', 'A2TW985PTHOP3A', 'AW576CMZINJKE', 'A2RFY9YXUWY2E1', 'A3HSZ9YLOBCCPR', 'A1XD6THGBT1T9T', 'A251BWQW2F81FT']"
A36FH5FVHU69MT,Space X is the first company that reuse boosters.,False,True,True,False,"['A3I6T47LQC4B9J', 'ASML73P0NOOVV', 'A37NZ5CUEO3RX7', 'A1F81JLE62538O', 'AY5X34OJ2VT1K', 'A2MRMOCGL25O67', 'A2RW31J0IX8SQW', 'A2HIAWY0EHAM05', 'A3D49JEUL64NIE', 'A3HSZ9YLOBCCPR', 'A3HKZTDVORNEZ', 'A2TW985PTHOP3A', 'A3HLL9X0R84HHH', 'A2D6SB3TU1NYQ7', 'A345TDMHP3DQ3G', 'A251BWQW2F81FT', 'A1GU25H2I4EF1', 'A2V2K38M97Q5KZ', 'A1SY72RI6GRUVW', 'A30SG0OEA96RSF']"
A38FQN4GN4WYEB,from here Spacecraft can stop in space and hover like a helicopter.,False,True,False,True,"['A2TW985PTHOP3A', 'A3HSZ9YLOBCCPR', 'AQTP7NEWCUGIX', 'A20KW255VI8X3Q', 'ASML73P0NOOVV', 'A25XR1F27QUO3D', 'A2D6SB3TU1NYQ7', 'A2MRMOCGL25O67', 'A31PP7LVLS1PSC', 'A2MZEUP2ECO1AI', 'A3I6T47LQC4B9J', 'AW576CMZINJKE', 'A3AHE81HVRXFCD', 'A1XD6THGBT1T9T', 'A3BULQ0RL1759D', 'A2O4PW85X1GQA1', 'AWGV35294HOYB', 'A2KH9SC6A8VQXZ', 'A251BWQW2F81FT', 'A3HLL9X0R84HHH']"
